State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-03 08:30:00,1043.52333,13.22,0.0,19.7,48.0,5.4
SA1,2000-01-03 09:00:00,1076.84333,13.72,0.0,21.1,43.0,7.6
SA1,2000-01-03 09:30:00,1093.31333,14.1,0.0,22.2,38.0,13.0
SA1,2000-01-03 10:00:00,1100.06,13.51,0.0,22.7,45.0,9.4
SA1,2000-01-03 10:30:00,1134.005,13.68,0.0,23.3,38.0,7.6
SA1,2000-01-03 11:00:00,1153.57833,13.93,0.0,24.7,33.0,11.2
SA1,2000-01-03 11:30:00,1163.75333,14.29,0.0,25.7,32.0,11.2
SA1,2000-01-03 12:00:00,1189.845,14.53,0.0,25.8,36.0,13.0
SA1,2000-01-03 12:30:00,1179.41667,14.39,0.0,25.2,37.0,18.4
SA1,2000-01-03 13:00:00,1199.47167,14.68,0.0,25.4,38.0,18.4
SA1,2000-01-03 13:30:00,1209.74,15.06,0.0,25.5,38.0,18.4
SA1,2000-01-03 14:00:00,1223.17167,36.55,0.0,23.8,41.0,24.1
SA1,2000-01-03 14:30:00,1221.76833,34.94,0.0,24.8,40.0,22.3
SA1,2000-01-03 15:00:00,1216.48333,32.96,0.0,24.8,41.0,24.1
SA1,2000-01-03 15:30:00,1227.45667,30.45,0.0,24.0,45.0,25.9
SA1,2000-01-03 16:00:00,1221.4,29.73,0.0,23.9,42.0,25.9
SA1,2000-01-03 16:30:00,1235.73,33.0,0.0,23.1,42.0,27.7
SA1,2000-01-03 17:00:00,1243.37833,35.19,0.0,22.8,43.0,24.1
SA1,2000-01-03 17:30:00,1249.58833,37.0,0.0,22.0,47.0,27.7
SA1,2000-01-03 18:30:00,1194.53167,14.39,0.0,21.0,45.0,24.1
SA1,2000-01-03 19:00:00,1178.10667,14.07,0.0,20.4,44.0,22.3
SA1,2000-01-03 19:30:00,1154.07167,13.83,0.0,19.8,46.0,18.4
SA1,2000-01-03 20:00:00,1145.295,13.83,0.0,18.8,49.0,22.3
SA1,2000-01-03 20:30:00,1168.78667,14.21,0.0,18.0,50.0,14.8
SA1,2000-01-03 21:00:00,1194.38,14.42,0.0,17.1,54.0,16.6
SA1,2000-01-03 21:30:00,1193.09833,14.17,0.0,16.5,54.0,13.0
SA1,2000-01-03 22:00:00,1174.70833,13.91,0.0,16.0,57.0,11.2
SA1,2000-01-03 22:30:00,1155.77,13.74,0.0,15.8,60.0,9.4
SA1,2000-01-03 23:00:00,1182.74333,13.99,0.0,15.9,62.0,11.2
SA1,2000-01-03 23:30:00,1220.40667,15.85,0.0,16.3,62.0,11.2
SA1,2000-01-04 00:00:00,1291.87833,31.74,0.0,16.3,64.0,14.8
SA1,2000-01-04 00:30:00,1303.295,38.45,0.0,16.0,68.0,16.6
SA1,2000-01-04 01:00:00,1326.85667,38.45,0.0,15.4,68.0,18.4
SA1,2000-01-04 01:30:00,1254.47,20.42,0.0,14.8,71.0,14.8
SA1,2000-01-04 02:00:00,1157.56833,14.61,0.0,14.4,71.0,9.4
SA1,2000-01-04 02:30:00,1096.43333,11.23,0.0,14.1,68.0,14.8
SA1,2000-01-04 03:00:00,1044.02167,9.39,0.0,13.7,70.0,11.2
SA1,2000-01-04 03:30:00,1010.66333,7.88,0.0,13.6,68.0,13.0
SA1,2000-01-04 04:00:00,987.325,7.66,0.0,13.6,61.0,20.5
SA1,2000-01-04 04:30:00,987.04667,8.55,0.0,13.1,62.0,13.0
