Total Demand,predicted_demand,percentage_error,within_2_percent
3769.35333,6032.0,60.02744958907845,False
3894.96,6032.0,54.86680222646703,False
3955.60667,6032.0,52.492411486402915,False
4021.06167,6032.0,50.01013401517913,False
4013.11667,6032.0,50.307117784342914,False
4075.255,6032.0,48.01527757158754,False
4095.69667,6032.0,47.276531589435315,False
4100.285,6032.0,47.11172516056811,False
4096.62167,6032.0,47.243277165987344,False
4096.26333,6032.0,47.25615796775449,False
4091.11833,6032.0,47.44134765713316,False
4082.39167,6032.0,47.756523322515996,False
4063.87667,6032.0,48.429701238940396,False
4065.61667,6032.0,48.36617639114512,False
4079.405,6032.0,47.86470085711028,False
4109.75,6032.0,46.77291806070929,False
4192.68333,6188.0,47.59044537713751,False
4210.41833,6188.0,46.96876925291173,False
4248.28833,6240.0,46.882685808663076,False
4254.07,6240.0,46.68305881191424,False
4243.30333,6292.0,48.280702808017274,False
4202.37167,6292.0,49.724976610648035,False
4127.45167,6240.0,51.1828726028426,False
4098.17833,6240.0,52.26277378710361,False
4151.41,5980.0,44.0474441213949,False
4266.90833,5980.0,40.14831202150527,False
4273.38833,5720.0,33.85163149916685,False
4204.415,5720.0,36.047464391597885,False
4116.195,5408.0,31.383474300901693,False
4077.19333,5408.0,32.64026408087938,False
4067.60833,5408.0,32.952820459977765,False
4481.16333,5408.0,20.682947746963727,False
4452.81167,5605.6,25.88899813047787,False
4299.03833,5605.6,30.391952099668764,False
4154.86667,5491.2,32.16308575312236,False
4445.24167,5491.2,23.529841741990136,False
4332.64833,5376.8,24.099617381131882,False
4108.40167,5376.8,30.873279486326368,False
3886.66,5262.400000000001,35.3964586560183,False
3762.98333,5262.400000000001,39.84648717537637,False
3673.40833,5148.0,40.142329344584454,False
3613.88667,5148.0,42.45051021480981,False
3620.27833,5148.0,42.19901153290609,False
3620.69667,5148.0,42.18258167426106,False
3657.18833,5720.0,56.40430527131207,False
3767.905,5720.0,51.80849835651375,False
3884.24667,6292.000000000001,61.98765255039791,False
3844.115,6292.000000000001,63.67876611391702,False
3956.47167,6635.200000000001,67.70497942172807,False
4047.56,6635.200000000001,63.93086205022287,False
4139.03,6635.200000000001,60.30809150936334,False
4261.55333,6635.200000000001,55.69909575671088,False
4332.92,6635.200000000001,53.13460668556079,False
4400.87333,6635.200000000001,50.77007453881887,False
4409.785,6635.200000000001,50.46538550065368,False
4451.14667,6635.200000000001,49.06720654073618,False
4462.47,6635.200000000001,48.68895477168474,False
4465.59167,6635.200000000001,48.5850138196805,False
4476.56,6635.200000000001,48.22095537644977,False
4484.81,6635.200000000001,47.94829658335582,False
4479.21,6635.200000000001,48.13326457120788,False
4455.40333,6635.200000000001,48.92478881367629,False
4435.21667,6635.200000000001,49.602612311610045,False
4509.66,6806.800000000001,50.93820820194873,False
4564.11667,6806.800000000001,49.13729188259337,False
4585.22333,6864.000000000001,49.69826998590277,False
4498.25333,6864.000000000001,52.59256196671346,False
4403.94333,6921.200000000001,57.15915218191513,False
