Total Demand,predicted_demand,percentage_error,within_5_percent
4079.405,5428.8,33.078230771399255,False
4109.75,5428.8,32.09562625463837,False
4192.68333,5569.2,32.83140083942376,False
4210.41833,5569.2,32.27189232762055,False
4248.28833,5616.0,32.19441722779677,False
4254.07,5616.0,32.01475293072282,False
4243.30333,5662.8,33.45263252721555,False
4202.37167,5662.8,34.752478949583235,False
4127.45167,5616.0,36.064585342558345,False
4098.17833,5616.0,37.03649640839325,False
4151.41,5382.0,29.642699709255417,False
4266.90833,5382.0,26.133480819354745,False
4273.38833,5148.0,20.466468349250167,False
4204.415,5148.0,22.442717952438095,False
4116.195,4867.2,18.245126870811518,False
4077.19333,4867.2,19.376237672791436,False
4067.60833,4867.2,19.657538413979985,False
4481.16333,4867.2,8.614652972267347,False
4452.81167,5605.6,25.88899813047787,False
4299.03833,5605.6,30.391952099668764,False
4154.86667,5491.2,32.16308575312236,False
4445.24167,5491.2,23.529841741990136,False
4332.64833,5376.8,24.099617381131882,False
4108.40167,5376.8,30.873279486326368,False
3886.66,5262.400000000001,35.3964586560183,False
3762.98333,5262.400000000001,39.84648717537637,False
3673.40833,5148.0,40.142329344584454,False
3613.88667,5148.0,42.45051021480981,False
3620.27833,5148.0,42.19901153290609,False
3620.69667,5148.0,42.18258167426106,False
3657.18833,5720.0,56.40430527131207,False
3767.905,5720.0,51.80849835651375,False
3884.24667,6292.000000000001,61.98765255039791,False
3844.115,6292.000000000001,63.67876611391702,False
3956.47167,6635.200000000001,67.70497942172807,False
4047.56,6635.200000000001,63.93086205022287,False
4139.03,6635.200000000001,60.30809150936334,False
4261.55333,6635.200000000001,55.69909575671088,False
4332.92,6635.200000000001,53.13460668556079,False
4400.87333,6635.200000000001,50.77007453881887,False
4409.785,6635.200000000001,50.46538550065368,False
4451.14667,6635.200000000001,49.06720654073618,False
4462.47,6635.200000000001,48.68895477168474,False
4465.59167,6635.200000000001,48.5850138196805,False
4476.56,6635.200000000001,48.22095537644977,False
4484.81,6635.200000000001,47.94829658335582,False
4479.21,6635.200000000001,48.13326457120788,False
4455.40333,6635.200000000001,48.92478881367629,False
4435.21667,6635.200000000001,49.602612311610045,False
4509.66,6806.800000000001,50.93820820194873,False
4564.11667,6806.800000000001,49.13729188259337,False
4585.22333,6864.000000000001,49.69826998590277,False
4498.25333,6864.000000000001,52.59256196671346,False
4403.94333,6921.200000000001,57.15915218191513,False
4306.185,6921.200000000001,60.72695436912255,False
4222.25667,6864.000000000001,62.56709471904277,False
4192.94833,6864.000000000001,63.703424411147004,False
4257.15,6578.000000000001,54.51651926758515,False
4333.90333,6578.000000000001,51.78003520443084,False
4321.54167,6292.000000000001,45.5961895190982,False
4189.25833,6292.000000000001,50.19365014904682,False
4085.26333,5948.800000000001,45.61607219576714,False
4021.36833,5948.800000000001,47.9297470868579,False
4015.88833,5948.800000000001,48.13160902808273,False
4487.31667,5948.800000000001,32.56920421441977,False
4520.08333,5605.6,24.015412786648778,False
4381.36667,5605.6,27.94181410066736,False
4251.52167,5491.2,29.158461986623248,False
4563.49167,5491.2,20.32891472331754,False
4437.59333,5376.8,21.164775592449356,False
4201.53333,5376.8,27.972327664481476,False
4024.945,5262.400000000001,30.744643715628424,False
3883.56833,5262.400000000001,35.50424642586372,False
3791.38167,5148.0,35.78163445623241,False
3772.65667,5148.0,36.45556567436072,False
3822.75,5148.0,34.66745144202472,False
3988.8,5148.0,29.061371841155232,False
4148.55833,5720.0,37.879223214393136,False
4374.88667,5720.0,30.746243993561556,False
4621.74167,6292.000000000001,36.13915379221099,False
4572.19333,6292.000000000001,37.61447834490412,False
4633.435,6635.200000000001,43.202613180070514,False
